
Began Switching at 2020-02-13 01:23:46
2020-02-13 01:23:46 Reading Soil Box #1
2020-02-13 01:23:46 Reading Soil Box #2
2020-02-13 01:23:46 Reading Soil Box #3
2020-02-13 01:23:46 Reading Soil Box #4
2020-02-13 01:23:46 Reading Soil Box #1
2020-02-13 01:23:46 Reading Soil Box #2
2020-02-13 01:23:46 Reading Soil Box #3
2020-02-13 01:23:46 Reading Soil Box #4
2020-02-13 01:23:46 Reading Soil Box #1
2020-02-13 01:23:46 Reading Soil Box #2
2020-02-13 01:23:46 Reading Soil Box #3
2020-02-13 01:23:46 Reading Soil Box #4
2020-02-13 01:23:46 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:47 Reading Soil Box #4
2020-02-13 01:23:47 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:47 Reading Soil Box #4
2020-02-13 01:23:47 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:47 Reading Soil Box #4
2020-02-13 01:23:47 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:47 Reading Soil Box #4
2020-02-13 01:23:47 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:47 Reading Soil Box #4
2020-02-13 01:23:47 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:47 Reading Soil Box #4
2020-02-13 01:23:47 Reading Soil Box #1
2020-02-13 01:23:47 Reading Soil Box #2
2020-02-13 01:23:47 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2
